type,minute,game_id,player_id,club_id,description,player_in,player_assist
Goals,70,4316187,875328,10010,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,578872
Goals,72,4316187,674732,6600,", Left-footed shot, 1. Goal of the Season",0,0
Goals,83,4316187,51174,6600,", Header, 1. Goal of the Season Assist: , Corner, 1. Assist of the Season",0,277335
Substitutions,46,4316187,982549,6600,", Tactical",674732,0
Substitutions,46,4316187,388266,10010,", Tactical",162812,0
Substitutions,46,4316187,703322,6600,", Tactical",277335,0
Substitutions,46,4316187,294873,6600,", Tactical",45319,0
Substitutions,64,4316187,727751,10010,", Tactical",875328,0
Substitutions,76,4316187,236202,6600,", Tactical",193782,0
Substitutions,80,4316187,392487,10010,", Tactical",205041,0
Substitutions,80,4316187,52896,10010,", Tactical",257740,0
Substitutions,83,4316187,678439,6600,", Tactical",1095552,0
Cards,13,4316187,578872,10010,"1. Yellow card  , Foul",0,0
Cards,29,4316187,678439,6600,"1. Yellow card  , Foul",0,0
Cards,41,4316187,51174,6600,"1. Yellow card  , Dissent",0,0
Cards,88,4316187,193782,6600,"1. Yellow card  , Foul",0,0
Cards,90,4316187,275381,6600,"1. Yellow card  , Foul",0,0
Cards,90,4316187,205041,10010,1. Yellow card,0,0
Cards,90,4316187,45319,6600,"1. Yellow card  , Dissent",0,0
Cards,90,4316187,257740,10010,"1. Yellow card  , Foul",0,0
Goals,20,4316310,432895,614,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,1009030
Goals,63,4316310,1009030,614,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,341705
Substitutions,46,4316310,432895,614,", Tactical",244275,0
Substitutions,46,4316310,57229,199,", Tactical",489893,0
Substitutions,75,4316310,603122,199,", Tactical",215915,0
Substitutions,75,4316310,262262,199,", Tactical",636314,0
Substitutions,82,4316310,47592,199,", Tactical",838387,0
Substitutions,82,4316310,565009,199,", Tactical",743590,0
Substitutions,88,4316310,1009030,614,", Tactical",374136,0
Substitutions,88,4316310,321239,614,", Tactical",435485,0
Substitutions,90,4316310,397458,614,", Tactical",749559,0
Cards,45,4316310,262262,199,"2. Yellow card  , Foul",0,0
Cards,68,4316310,288431,614,"3. Yellow card  , Foul",0,0
Goals,45,4316295,574772,1023,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,991800
Goals,71,4316295,1056993,1023,", Penalty, 1. Goal of the Season",0,0
Substitutions,58,4316295,991800,1023,", Tactical",1056993,0
Substitutions,58,4316295,971570,1023,", Tactical",735573,0
Substitutions,58,4316295,574772,1023,", Tactical",867461,0
Substitutions,62,4316295,169179,28022,", Injury",862358,0
Substitutions,70,4316295,675178,28022,", Tactical",519851,0
Substitutions,71,4316295,663578,28022,", Tactical",177534,0
Substitutions,82,4316295,642758,1023,", Tactical",627230,0
Substitutions,82,4316295,608216,1023,", Tactical",225432,0
Substitutions,83,4316295,700933,28022,", Tactical",347100,0
Substitutions,83,4316295,430761,28022,", Tactical",392809,0
Cards,43,4316295,700933,28022,"2. Yellow card  , Dissent",0,0
Cards,50,4316295,458710,1023,"3. Yellow card  , Foul",0,0
Cards,75,4316295,608216,1023,"2. Yellow card  , Foul",0,0
Cards,90,4316295,225432,1023,"1. Yellow card  , Foul",0,0
Cards,90,4316295,617687,28022,"2. Yellow card  , Foul",0,0
Goals,45,4316291,205041,10010,", Penalty, 3. Goal of the Season",0,0
Goals,63,4316291,884072,537,", Right-footed shot, 1. Goal of the Season Assist: , 1. Assist of the Season",0,364972
Goals,86,4316291,289802,10010,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,257740
Substitutions,46,4316291,740157,537,", Tactical",891353,0
Substitutions,57,4316291,800175,537,", Tactical",217886,0
Substitutions,58,4316291,52896,10010,", Tactical",793815,0
Substitutions,58,4316291,205041,10010,", Tactical",544259,0
Substitutions,72,4316291,884072,537,", Tactical",800732,0
Substitutions,72,4316291,273438,537,", Tactical",546036,0
Substitutions,72,4316291,727751,10010,", Tactical",257740,0
Substitutions,77,4316291,162812,10010,", Tactical",875328,0
Substitutions,78,4316291,392487,10010,", Tactical",289802,0
Substitutions,82,4316291,76746,537,", Tactical",379752,0
Cards,36,4316291,524446,10010,"1. Yellow card  , Foul",0,0
Cards,77,4316291,793815,10010,"1. Yellow card  , Foul",0,0
Cards,82,4316291,195810,537,"1. Yellow card  , Foul",0,0
Cards,90,4316291,379752,537,"1. Yellow card  , Foul",0,0
Goals,26,4316294,633212,679,", Tap-in, 1. Goal of the Season Assist: , Cross, 2. Assist of the Season",0,829969
Substitutions,10,4316294,457533,679,", Injury",593205,0
Substitutions,23,4316294,212114,978,", Tactical",671145,0
Substitutions,59,4316294,503052,679,", Tactical",149572,0
Substitutions,59,4316294,369556,679,", Tactical",177845,0
Substitutions,69,4316294,148765,679,", Tactical",195882,0
Substitutions,69,4316294,711600,679,", Tactical",219835,0
Substitutions,73,4316294,334229,978,", Tactical",834481,0
Substitutions,74,4316294,862574,978,", Tactical",659264,0
Substitutions,86,4316294,412594,978,", Tactical",733579,0
Substitutions,86,4316294,373189,978,", Tactical",868891,0
Cards,16,4316294,644157,978,"Red card  , Professional foul",0,0
Cards,58,4316294,26267,679,"2. Yellow card  , Foul",0,0
Goals,45,4316289,223560,585,", Header, 2. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,552240
Goals,49,4316289,252900,2125,", Header, 1. Goal of the Season Assist: , Corner, 2. Assist of the Season",0,365368
Goals,53,4316289,223560,585,", Left-footed shot, 3. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,482144
Goals,84,4316289,466336,585,", Right-footed shot, 1. Goal of the Season",0,0
Substitutions,13,4316289,544464,2125,", Tactical",514297,0
Substitutions,30,4316289,861852,585,", Tactical",567249,0
Substitutions,46,4316289,76191,2125,", Tactical",352890,0
Substitutions,46,4316289,373192,2125,", Tactical",688668,0
Substitutions,67,4316289,552240,585,", Tactical",515638,0
Substitutions,67,4316289,365368,2125,", Tactical",746358,0
Substitutions,68,4316289,503343,585,", Tactical",466336,0
Substitutions,68,4316289,468304,585,", Tactical",743593,0
Substitutions,69,4316289,976561,2125,", Tactical",48974,0
Substitutions,86,4316289,223560,585,", Tactical",565232,0
Cards,7,4316289,671572,2125,"Red card  , Serious foul",0,0
Cards,14,4316289,861852,585,"1. Yellow card  , Foul",0,0
Cards,25,4316289,147396,2125,"1. Yellow card  , Foul",0,0
Cards,36,4316289,503343,585,"1. Yellow card  , Foul",0,0
Cards,36,4316289,567249,585,"1. Yellow card  , Foul",0,0
Cards,60,4316289,688668,2125,"2. Yellow card  , Foul",0,0
Cards,82,4316289,482144,585,"3. Yellow card  , Foul",0,0
Cards,87,4316289,691811,2125,1. Yellow card,0,0
Substitutions,46,4316292,636314,199,", Tactical",594226,0
Substitutions,65,4316292,404321,10870,", Tactical",162807,0
Substitutions,65,4316292,542598,10870,", Tactical",788361,0
Substitutions,72,4316292,262262,199,", Tactical",547443,0
Substitutions,75,4316292,265660,10870,", Tactical",74758,0
Substitutions,79,4316292,47592,199,", Tactical",1005165,0
Substitutions,80,4316292,1029227,199,", Tactical",57229,0
Substitutions,80,4316292,546530,199,", Tactical",491701,0
Substitutions,85,4316292,594105,10870,", Tactical",323452,0
Substitutions,85,4316292,348354,10870,", Tactical",829968,0
Cards,23,4316292,542598,10870,"1. Yellow card  , Foul",0,0
Cards,41,4316292,273442,10870,"1. Yellow card  , Time wasting",0,0
Cards,45,4316292,546530,199,"3. Yellow card  , Foul",0,0
Cards,64,4316292,262851,10870,"2. Yellow card  , Foul",0,0
Cards,71,4316292,265660,10870,"1. Yellow card  , Foul",0,0
Cards,72,4316292,594105,10870,"3. Yellow card  , Repeated Foul",0,0
Cards,90,4316292,74758,10870,"1. Yellow card  , Foul",0,0
Goals,30,4316293,329720,8793,", Header, 1. Goal of the Season Assist: , Corner, 1. Assist of the Season",0,1084081
Goals,79,4316293,353108,614,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 2. Assist of the Season",0,397458
Substitutions,37,4316293,978037,614,", Tactical",435485,0
Substitutions,62,4316293,1084081,8793,", Tactical",351738,0
Substitutions,62,4316293,614328,8793,", Tactical",612162,0
Substitutions,74,4316293,406676,8793,", Tactical",270188,0
Substitutions,74,4316293,975191,8793,", Tactical",412365,0
Substitutions,75,4316293,349585,614,", Tactical",439072,0
Substitutions,75,4316293,385271,614,", Tactical",1009030,0
Substitutions,81,4316293,162883,8793,", Tactical",743951,0
Cards,10,4316293,887801,8793,"1. Yellow card  , Foul",0,0
Cards,17,4316293,978037,614,"1. Yellow card  , Foul",0,0
Cards,33,4316293,385271,614,"2. Yellow card  , Foul",0,0
Cards,90,4316293,743951,8793,"1. Yellow card  , Time wasting",0,0
Goals,4,4316290,54590,2462,", Left-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,668268
Goals,61,4316290,53058,2462,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,997714
Goals,73,4316290,89718,330,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,553459
Goals,79,4316290,89718,330,", Header, 3. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,346766
Substitutions,46,4316290,258254,330,", Tactical",743588,0
Substitutions,60,4316290,67920,2462,", Tactical",53058,0
Substitutions,60,4316290,35537,2462,", Tactical",884070,0
Substitutions,60,4316290,75615,2462,", Tactical",997714,0
Substitutions,72,4316290,387611,2462,", Tactical",261309,0
Substitutions,73,4316290,480774,330,", Tactical",553459,0
Substitutions,73,4316290,80562,330,", Tactical",89718,0
Substitutions,85,4316290,330085,330,", Tactical",1083070,0
Substitutions,90,4316290,428791,330,", Tactical",1083073,0
Substitutions,90,4316290,54590,2462,", Tactical",1119009,0
Cards,12,4316290,167724,2462,"1. Yellow card  , Dissent",0,0
Cards,20,4316290,588989,2462,"1. Yellow card  , Foul",0,0
Cards,31,4316290,54590,2462,"1. Yellow card  , Dissent",0,0
Cards,43,4316290,35537,2462,"2. Yellow card  , Foul",0,0
Cards,45,4316290,67920,2462,3. Yellow card,0,0
Cards,45,4316290,258254,330,2. Yellow card,0,0
Cards,51,4316290,428791,330,"2. Yellow card  , Foul",0,0
Substitutions,55,4316273,729264,585,", Injury",482144,0
Substitutions,55,4316273,844797,1023,", Tactical",574772,0
Substitutions,61,4316273,565232,585,", Tactical",689017,0
Substitutions,66,4316273,1056993,1023,", Tactical",991800,0
Substitutions,66,4316273,971570,1023,", Tactical",371009,0
Substitutions,73,4316273,496268,1023,", Tactical",816129,0
Substitutions,73,4316273,75435,1023,", Tactical",147361,0
Substitutions,85,4316273,223560,585,", Tactical",88103,0
Cards,29,4316273,546212,585,"1. Yellow card  , Foul",0,0
Cards,40,4316273,215390,1023,2. Yellow card,0,0
Cards,43,4316273,552240,585,"2. Yellow card  , Dissent",0,0
Cards,45,4316273,971570,1023,"2. Yellow card  , Foul",0,0
Cards,59,4316273,284727,585,1. Yellow card,0,0
Cards,59,4316273,458710,1023,2. Yellow card,0,0
Cards,69,4316273,482144,585,"2. Yellow card  , Foul",0,0
Goals,50,4316267,719251,15172,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,387925
Goals,55,4316267,323831,6600,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,674732
Substitutions,46,4316267,982198,15172,", Tactical",719251,0
Substitutions,64,4316267,277335,6600,", Tactical",1095552,0
Substitutions,64,4316267,982549,6600,", Tactical",193782,0
Substitutions,80,4316267,275381,6600,", Tactical",815384,0
Substitutions,80,4316267,294873,6600,", Tactical",51174,0
Substitutions,90,4316267,350766,15172,", Tactical",1226150,0
Substitutions,90,4316267,372013,15172,", Tactical",868491,0
Cards,60,4316267,387925,15172,"1. Yellow card  , Time wasting",0,0
Cards,85,4316267,725049,15172,"2. Yellow card  , Time wasting",0,0
Cards,88,4316267,638269,15172,"3. Yellow card  , Foul",0,0
Cards,90,4316267,719251,15172,"1. Yellow card  , Foul",0,0
Goals,8,4316276,535037,10492,", Left-footed shot, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,816144
Goals,73,4316276,149572,679,", Tap-in, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,829969
Substitutions,46,4316276,1115489,679,", Tactical",593205,0
Substitutions,62,4316276,813120,10492,", Injury",658665,0
Substitutions,63,4316276,658678,679,", Tactical",149572,0
Substitutions,68,4316276,369556,679,", Tactical",177845,0
Substitutions,68,4316276,503052,679,", Tactical",711600,0
Substitutions,74,4316276,535037,10492,", Tactical",800177,0
Substitutions,74,4316276,816144,10492,", Tactical",902507,0
Substitutions,81,4316276,29091,10492,", Tactical",892091,0
Substitutions,81,4316276,148765,679,", Tactical",195882,0
Cards,49,4316276,555310,10492,"3. Yellow card  , Foul",0,0
Cards,63,4316276,816144,10492,"1. Yellow card  , Foul",0,0
Cards,76,4316276,593205,679,"1. Yellow card  , Foul",0,0
Cards,90,4316276,691906,679,"1. Yellow card  , Dissent",0,0
Goals,40,4316272,1007378,199,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,636314
Goals,45,4316272,1007378,199,", Solo run, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,730708
Goals,47,4316272,603122,199,", Header, 1. Goal of the Season Assist: , Free kick, 1. Assist of the Season",0,565009
Substitutions,8,4316272,213368,199,", Injury",636314,0
Substitutions,46,4316272,35537,2462,", Tactical",884070,0
Substitutions,46,4316272,592344,2462,", Tactical",75615,0
Substitutions,60,4316272,67920,2462,", Tactical",53058,0
Substitutions,69,4316272,54590,2462,", Tactical",261309,0
Substitutions,73,4316272,636314,199,", Tactical",594226,0
Substitutions,73,4316272,730708,199,", Tactical",57229,0
Substitutions,73,4316272,546530,199,", Tactical",670021,0
Substitutions,85,4316272,44501,2462,", Tactical",167724,0
Substitutions,90,4316272,1029227,199,", Tactical",743590,0
Cards,30,4316272,592344,2462,"2. Yellow card  , Foul",0,0
Cards,36,4316272,668268,2462,"2. Yellow card  , Mass confrontation",0,0
Cards,36,4316272,1007378,199,"1. Yellow card  , Mass confrontation",0,0
Cards,39,4316272,565009,199,"2. Yellow card  , Foul",0,0
Cards,42,4316272,636314,199,"1. Yellow card  , Foul",0,0
Cards,44,4316272,1029227,199,"1. Yellow card  , Foul",0,0
Goals,9,4316274,896338,10870,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,542598
Goals,40,4316274,162883,8793,", Header, 2. Goal of the Season Assist: , Header, 1. Assist of the Season",0,887801
Substitutions,46,4316274,406676,8793,", Tactical",564546,0
Substitutions,59,4316274,587786,10870,", Tactical",435163,0
Substitutions,59,4316274,542598,10870,", Tactical",788361,0
Substitutions,64,4316274,612162,8793,", Tactical",351738,0
Substitutions,70,4316274,121986,10870,", Injury",982617,0
Substitutions,71,4316274,896338,10870,", Tactical",829968,0
Substitutions,76,4316274,670965,8793,", Tactical",577407,0
Substitutions,76,4316274,162883,8793,", Tactical",743951,0
Substitutions,77,4316274,614328,8793,", Tactical",355496,0
Substitutions,84,4316274,74758,10870,", Injury",265660,0
Cards,16,4316274,406676,8793,"2. Yellow card  , Foul",0,0
Cards,58,4316274,594105,10870,"2. Yellow card  , Dissent",0,0
Goals,50,4316268,225984,609,", Left-footed shot, 1. Goal of the Season",0,0
Goals,52,4316268,218118,2125,", Own-goal",0,0
Goals,58,4316268,213619,609,", Left-footed shot, 2. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,613873
Goals,75,4316268,401534,609,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 2. Assist of the Season",0,613873
Substitutions,46,4316268,450211,609,", Tactical",613873,0
Substitutions,62,4316268,574904,2125,", Tactical",859135,0
Substitutions,62,4316268,352890,2125,", Tactical",215212,0
Substitutions,62,4316268,76191,2125,", Tactical",976561,0
Substitutions,68,4316268,218118,609,", Tactical",408958,0
Substitutions,74,4316268,371996,2125,", Tactical",143817,0
Substitutions,82,4316268,401534,609,", Tactical",987503,0
Substitutions,82,4316268,213619,609,", Tactical",587328,0
Substitutions,84,4316268,365368,2125,", Tactical",746358,0
Substitutions,90,4316268,225984,609,", Tactical",349513,0
Cards,78,4316268,484848,609,"2. Yellow card  , Foul",0,0
Cards,90,4316268,587328,609,"2. Yellow card  , Foul",0,0
Goals,17,4316269,205041,10010,", Left-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,52896
Substitutions,46,4316269,906774,210,", Tactical",332259,0
Substitutions,46,4316269,169052,210,", Tactical",1086375,0
Substitutions,46,4316269,312294,210,", Tactical",1083600,0
Substitutions,64,4316269,52896,10010,", Tactical",875328,0
Substitutions,72,4316269,44779,210,", Tactical",129129,0
Substitutions,76,4316269,392487,10010,", Tactical",257740,0
Substitutions,79,4316269,61891,210,", Tactical",1084816,0
Substitutions,80,4316269,162812,10010,", Tactical",544259,0
Substitutions,81,4316269,727751,10010,", Tactical",793815,0
Substitutions,81,4316269,205041,10010,", Tactical",289802,0
Cards,45,4316269,145400,210,"2. Yellow card  , Dissent",0,0
Cards,47,4316269,740501,10010,"1. Yellow card  , Foul",0,0
Cards,56,4316269,52896,10010,"2. Yellow card  , Dissent",0,0
Cards,67,4316269,373174,210,"1. Yellow card  , Foul",0,0
Cards,78,4316269,1086375,210,"2. Yellow card  , Dissent",0,0
Cards,90,4316269,44779,210,Red card,0,0
Cards,90,4316269,176140,210,"1. Yellow card  , Dissent",0,0
Goals,53,4316270,800175,537,", Left-footed shot, 1. Goal of the Season Assist: , Corner, 1. Assist of the Season",0,309193
Goals,90,4316270,309193,537,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,884072
Substitutions,46,4316270,215616,614,", Tactical",385271,0
Substitutions,60,4316270,800175,537,", Injury",884072,0
Substitutions,60,4316270,110078,537,", Tactical",364261,0
Substitutions,66,4316270,188862,614,", Tactical",964580,0
Substitutions,66,4316270,435485,614,", Tactical",341705,0
Substitutions,68,4316270,273438,537,", Tactical",546036,0
Substitutions,68,4316270,592347,537,", Injury",800732,0
Substitutions,70,4316270,248410,614,", Injury",1009030,0
Substitutions,72,4316270,468302,537,", Injury",379752,0
Substitutions,84,4316270,349585,614,", Tactical",439072,0
Cards,15,4316270,309193,537,"1. Yellow card  , Foul",0,0
Cards,43,4316270,273438,537,"2. Yellow card  , Foul",0,0
Cards,57,4316270,800175,537,"1. Yellow card  , Foul",0,0
Cards,59,4316270,397458,614,"1. Yellow card  , Foul",0,0
Cards,79,4316270,884072,537,"2. Yellow card  , Foul",0,0
Goals,32,4316271,520470,7178,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,75471
Goals,47,4316271,520470,7178,", Left-footed shot, 2. Goal of the Season Assist: , Pass, 2. Assist of the Season",0,75471
Goals,55,4316271,75471,7178,", Counter attack goal, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,348262
Goals,69,4316271,646432,7178,", Header, 1. Goal of the Season Assist: , 1. Assist of the Season",0,188715
Substitutions,46,4316271,37647,978,", Tactical",313830,0
Substitutions,46,4316271,60889,978,", Tactical",84695,0
Substitutions,56,4316271,1012564,978,", Tactical",733579,0
Substitutions,56,4316271,659264,978,", Tactical",868891,0
Substitutions,60,4316271,75471,7178,", Tactical",37418,0
Substitutions,61,4316271,224481,7178,", Tactical",425462,0
Substitutions,67,4316271,178400,7178,", Injury",188715,0
Substitutions,71,4316271,644157,978,", Tactical",862574,0
Substitutions,76,4316271,697845,7178,", Tactical",158333,0
Substitutions,76,4316271,646432,7178,", Tactical",811219,0
Cards,45,4316271,670201,978,"1. Yellow card  , Foul",0,0
Goals,28,4316275,89718,330,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,428791
Goals,61,4316275,330085,330,", Direct free kick, 2. Goal of the Season",0,0
Goals,78,4316275,428791,330,", Penalty, 2. Goal of the Season",0,0
Substitutions,46,4316275,303140,330,", Tactical",341701,0
Substitutions,46,4316275,675178,28022,", Tactical",985755,0
Substitutions,46,4316275,392809,28022,", Tactical",1035650,0
Substitutions,56,4316275,350342,28022,", Tactical",430761,0
Substitutions,66,4316275,480774,330,", Tactical",553459,0
Substitutions,66,4316275,400960,330,", Tactical",515208,0
Substitutions,67,4316275,808507,28022,", Tactical",1081036,0
Substitutions,70,4316275,330085,330,", Tactical",346766,0
